Workout date; 2019-04-22 09:21:04 
Duration; 2693
Calories burned; 0
Mean heart rate; 116,02
Maximum heart rate; 172
Notes; PM100C

Time (seconds); Rate (beats per minute)
     0,5; 83
     1,0; 83
     1,5; 83
     2,0; 83
     2,5; 83
     3,0; 83
     3,5; 83
     4,0; 83
     4,5; 83
     5,0; 83
     5,5; 83
     6,0; 83
     6,5; 83
     7,0; 83
     7,5; 83
     8,0; 83
     8,5; 83
     9,0; 83
     9,5; 83
    10,0; 83
    10,5; 83
    11,0; 83
    11,5; 83
    12,0; 83
    12,5; 83
    13,0; 83
    13,5; 83
    14,0; 83
    14,5; 83
    15,0; 83
    15,5; 83
    16,0; 83
    16,5; 83
    17,0; 83
    17,5; 83
    18,0; 83
    18,5; 83
    19,0; 83
    19,5; 83
    20,0; 83
    20,5; 83
    35,5; 119
    36,0; 119
    36,5; 119
    37,0; 119
    37,5; 119
    38,0; 119
    38,5; 119
    39,0; 119
    39,5; 119
    40,0; 119
    40,5; 119
    41,0; 119
    41,5; 119
    42,0; 119
    42,5; 119
    43,0; 119
    43,5; 117
    44,0; 117
    44,5; 117
    45,0; 117
    45,5; 117
    46,0; 117
    46,5; 117
    47,0; 117
    47,5; 108
    48,0; 108
    48,5; 108
    49,0; 112
    49,5; 112
    50,0; 118
    50,5; 118
    51,0; 118
    51,5; 118
    52,0; 118
    52,5; 118
    53,0; 118
    53,5; 118
    54,0; 118
    54,5; 118
    55,0; 118
    55,5; 118
    56,0; 118
    56,5; 118
    57,0; 118
    57,5; 118
    58,0; 118
    58,5; 118
    59,0; 118
    59,5; 118
    60,0; 118
    60,5; 118
    61,0; 111
    61,5; 111
    62,0; 111
    62,5; 111
    63,0; 111
    63,5; 111
    64,0; 111
    64,5; 111
    65,0; 111
    65,5; 111
    66,0; 111
    66,5; 111
    67,0; 111
    67,5; 111
    68,0; 111
    68,5; 106
    69,0; 106
    69,5; 106
    70,0; 106
    70,5; 106
    71,0; 106
    71,5; 106
    72,0; 106
    72,5; 106
    73,0; 106
    73,5; 106
    74,0; 106
    74,5; 106
    75,0; 99
    75,5; 99
    76,0; 93
    76,5; 93
    77,0; 93
    77,5; 93
    78,0; 93
    78,5; 93
    79,0; 93
    79,5; 87
    80,0; 87
    80,5; 95
    81,0; 95
    81,5; 95
    82,0; 95
    82,5; 95
    83,0; 95
    83,5; 95
    84,0; 95
    84,5; 95
    85,0; 95
    85,5; 95
    86,0; 95
    86,5; 95
    87,0; 95
    87,5; 95
    88,0; 95
    88,5; 95
    89,0; 95
    89,5; 95
    90,0; 95
    95,5; 121
    96,0; 127
    96,5; 127
    97,0; 127
    97,5; 127
    98,0; 127
    98,5; 127
    99,0; 127
    99,5; 127
   100,0; 127
   100,5; 127
   101,0; 126
   101,5; 126
   102,0; 126
   102,5; 125
   103,0; 125
   103,5; 124
   104,0; 124
   104,5; 121
   105,0; 121
   105,5; 118
   106,0; 118
   106,5; 117
   107,0; 117
   107,5; 118
   108,0; 120
   108,5; 120
   109,0; 122
   109,5; 122
   110,0; 122
   110,5; 122
   111,0; 124
   111,5; 124
   112,0; 124
   112,5; 124
   113,0; 124
   113,5; 124
   114,0; 124
   114,5; 126
   115,0; 126
   115,5; 126
   116,0; 126
   116,5; 126
   117,0; 126
   117,5; 126
   118,0; 126
   118,5; 126
   119,0; 126
   119,5; 126
   124,0; 172
   124,5; 172
   125,0; 172
   125,5; 172
   126,0; 172
   126,5; 57
   127,0; 57
   127,5; 57
   128,0; 57
   128,5; 57
   129,0; 57
   129,5; 57
   130,0; 57
   130,5; 57
   131,0; 57
   131,5; 57
   132,0; 57
   132,5; 57
   133,0; 144
   133,5; 144
   134,0; 139
   134,5; 139
   135,0; 134
   135,5; 134
   136,0; 132
   136,5; 132
   137,0; 132
   137,5; 132
   138,0; 132
   138,5; 131
   139,0; 131
   139,5; 132
   140,0; 132
   140,5; 133
   141,0; 133
   141,5; 132
   142,0; 132
   142,5; 131
   143,0; 131
   143,5; 130
   144,0; 129
   144,5; 129
   145,0; 128
   145,5; 128
   146,0; 127
   146,5; 127
   147,0; 127
   147,5; 127
   148,0; 127
   148,5; 127
   149,0; 128
   149,5; 128
   150,0; 128
   150,5; 128
   151,0; 128
   151,5; 129
   152,0; 129
   152,5; 129
   153,0; 129
   153,5; 129
   154,0; 129
   154,5; 128
   155,0; 128
   155,5; 128
   156,0; 127
   156,5; 127
   157,0; 127
   157,5; 127
   158,0; 127
   158,5; 127
   159,0; 127
   159,5; 127
   160,0; 127
   160,5; 127
   161,0; 131
   161,5; 131
   162,0; 131
   162,5; 136
   163,0; 136
   163,5; 136
   164,0; 136
   164,5; 136
   165,0; 136
   165,5; 136
   166,0; 136
   166,5; 139
   167,0; 139
   167,5; 139
   168,0; 138
   168,5; 138
   169,0; 134
   169,5; 134
   170,0; 132
   170,5; 132
   171,0; 130
   171,5; 130
   172,0; 128
   172,5; 128
   173,0; 125
   173,5; 125
   174,0; 125
   174,5; 124
   175,0; 124
   175,5; 122
   176,0; 122
   176,5; 119
   177,0; 119
   177,5; 118
   178,0; 118
   178,5; 117
   179,0; 117
   179,5; 118
   180,0; 119
   180,5; 119
   181,0; 120
   181,5; 120
   182,0; 121
   182,5; 121
   183,0; 121
   183,5; 121
   184,0; 119
   184,5; 119
   185,0; 117
   185,5; 117
   186,0; 117
   186,5; 115
   187,0; 115
   187,5; 114
   188,0; 114
   188,5; 114
   189,0; 114
   189,5; 115
   190,0; 115
   190,5; 118
   191,0; 118
   191,5; 119
   192,0; 119
   192,5; 119
   193,0; 119
   193,5; 119
   194,0; 119
   194,5; 119
   195,0; 118
   195,5; 118
   196,0; 118
   196,5; 118
   197,0; 119
   197,5; 119
   198,0; 119
   198,5; 121
   199,0; 121
   199,5; 123
   200,0; 123
   200,5; 125
   201,0; 125
   201,5; 125
   202,0; 125
   202,5; 124
   203,0; 124
   203,5; 124
   204,0; 122
   204,5; 122
   205,0; 121
   205,5; 121
   206,0; 121
   206,5; 121
   207,0; 121
   207,5; 121
   208,0; 120
   208,5; 120
   209,0; 120
   209,5; 120
   210,0; 120
   210,5; 120
   211,0; 120
   211,5; 119
   212,0; 119
   212,5; 117
   213,0; 117
   213,5; 116
   214,0; 116
   214,5; 115
   215,0; 115
   215,5; 115
   216,0; 115
   216,5; 115
   217,0; 115
   217,5; 115
   218,0; 116
   218,5; 116
   219,0; 117
   219,5; 117
   220,0; 116
   220,5; 116
   221,0; 117
   221,5; 117
   222,0; 117
   222,5; 118
   223,0; 118
   223,5; 119
   224,0; 119
   224,5; 120
   225,0; 120
   225,5; 121
   226,0; 121
   226,5; 122
   227,0; 122
   227,5; 124
   228,0; 124
   228,5; 124
